Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc),Crystal System
mp-12417,Ba2CaReO6,I4/m,-2.926,0,0,152.09,10,6.517,tetragonal
mp-19098,Ba2CaWO6,C2/m,-3.034,0,3.324,154.804,10,6.378,monoclinic
mp-1111916,K2NaTiF6,Fm3m,-3.332,0,0,154.146,10,2.834,cubic
mp-1114456,Rb2NaScF6,Fm3m,-3.596,0,6.908,167.427,10,3.5,cubic
mp-1209351,Pr2ZnPtO6,P21/c,-2.571,0,1.665,257.797,20,8.223,monoclinic
mp-1205650,Ba2TaTlO6,Fm3m,-2.826,0,2.463,155.145,10,8.091,cubic
mp-561170,Ba3ZrRu2O9,P63/mmc,-2.687,0,0,433.797,30,6.502,hexagonal
mp-1205669,Ba2YMoO6,Fm3m,-3.068,0,0,154.211,10,5.982,cubic
mp-1211320,KRb2InF6,P21/c,-3.024,0,5.332,398.539,20,3.657,monoclinic
mp-1207120,Ba2LiIO6,Fm3m,-2.244,0,2.078,143.358,10,5.844,cubic
mp-1207705,TmRhO3,Pnma,-2.624,0,0.956,229.41,20,9.26,orthorhombic
mp-1212655,Gd2MnNiO6,P21/c,-2.774,0,1.868,230.466,20,7.553,monoclinic
mp-1214487,Ba3ZnSb2O9,P63/mmc,-2.501,0,1.96,449.293,30,6.393,hexagonal
mp-23329,Bi2WO6,Aea2,-1.958,0,1.954,261.062,18,8.877,orthorhombic
mp-550081,Ba2LaIrO6,R3,-2.721,0,0,161.376,10,7.221,trigonal
mp-23091,Ba2BiSbO6,R3,-2.462,0,1.984,162.475,10,7.168,trigonal
mp-6635,Ba2CaReO6,Fm3m,-2.926,0,0,152.077,10,6.518,cubic
mp-1114566,Rb2LiErCl6,Fm3m,-2.455,0,5.192,284.748,10,3.253,cubic
mp-1206863,CsCaCl3,I4/mcm,-2.632,0,5.614,325.993,10,2.846,tetragonal
